" ","User Id","Timestamp","Trigger Time","Time Zone","Trigger Type","Trigger Name","ID"
"5553b5c3151bf50c5de4f87a","5553b538151bf50c5de4f83e","13-05-2015 15:36","12-05-2015 15:34","-5:00","RANDOM","ID trigger",9994
"5553b60c151bf50c5de4f8ab","5553b53e151bf50c5de4f84c","13-05-2015 15:37","12-05-2015 15:34","-5:00","RANDOM","ID trigger",9992
"5553b6d3151bf50c5de4f8c9","5553b53a151bf50c5de4f845","13-05-2015 15:40","13-05-2015 15:34","-5:00","RANDOM","ID trigger",9993
"5553b5db151bf50c5de4f887","5553b53a151bf50c5de4f845","13-05-2015 15:36","13-05-2015 15:34","-5:00","RANDOM","ID trigger",9993
"5553b5e6151bf50c5de4f88b","5553b54f151bf50c5de4f853","13-05-2015 15:36","13-05-2015 15:34","-5:00","RANDOM","ID trigger",9996
"55444c7117462d69096f95d9","553856c270bf32e404567936","01-05-2015 23:02","01-05-2015 23:02","-5:00","DELETED","DELETED TRIGGER",9999
"5571b089a4c004be20ef95ea","5536e37d9ba6486519ebafa0","05-06-2015 09:21","04-06-2015 09:21","-5:00","RANDOM","ID trigger",9999
"55734aaaa4c004be20efcba8","553856c270bf32e404567936","06-06-2015 14:31","06-06-2015 14:31","-5:00","RANDOM","ID trigger",9998
"557449d4a4c004be20efdcdb","5536e37d9ba6486519ebafa0","07-06-2015 08:40","06-06-2015 08:40","-5:00","RANDOM","ID trigger",9999
"5575bb0aa4c004be20f00975","5536e37d9ba6486519ebafa0","08-06-2015 10:55","07-06-2015 10:55","-5:00","RANDOM","ID trigger",9999
"55782857a4c004be20f08eac","5536e37d9ba6486519ebafa0","10-06-2015 07:06","09-06-2015 07:06","-5:00","RANDOM","ID trigger",9999
"5579e9b38134591452ee402b","5536e37d9ba6486519ebafa0","11-06-2015 15:03","10-06-2015 15:03","-5:00","RANDOM","ID trigger",9999
"555270c14ad8dc9d581b0189","5536e37d9ba6486519ebafa0","12-05-2015 16:29","11-05-2015 16:21","-5:00","RANDOM","ID trigger",9999
"55589f99151bf50c5de562c9","55589f6b151bf50c5de562bf","17-05-2015 09:03","16-05-2015 09:02","-5:00","RANDOM","ID trigger",9991
"558c3c9ec6a9c9c430edee16","5536e37d9ba6486519ebafa0","25-06-2015 12:37","25-06-2015 12:37","-5:00","RANDOM","ID trigger",9999